Reporte,Estado,Centro,Calificación,Fecha Reporte,Atendido,Fecha Pago,Deuda,Pagos,Total,Estado Pago,Tiempo hasta pago,Falla
44324,9,10,Regulares,2026-01-02 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,$54159.73,$0.00,$54159.73,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -6 LINEAS
44353,15,823,Rodrigo Vega,2026-01-02 00:00:00,2026-01-07 00:00:00,2001-01-01 00:00:00,$46145.15,$0.00,$46145.15,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -7 LINEAS
44326,9,22,Regulares,2026-01-02 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,$45133.11,$0.00,$45133.11,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
44327,9,34,Regulares,2026-01-02 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,$45133.11,$0.00,$45133.11,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
44328,9,35,Regulares,2026-01-02 00:00:00,2026-01-12 00:00:00,2001-01-01 00:00:00,$45133.11,$0.00,$45133.11,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
44332,9,53,MAC´s,2026-01-02 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,$45133.11,$0.00,$45133.11,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
41275,9,2,MAC´s,2025-04-01 00:00:00,2025-04-30 00:00:00,2001-01-01 00:00:00,$43246.71,$0.00,$43246.71,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
43756,9,53,MAC´s,2025-11-03 00:00:00,2025-11-26 00:00:00,2000-01-01 00:00:00,$43246.71,$0.00,$43246.71,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
44066,9,5,Regulares,2025-12-01 00:00:00,2025-12-20 00:00:00,2001-01-01 00:00:00,$43246.71,$0.00,$43246.71,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
41638,9,2,MAC´s,2025-05-01 00:00:00,2025-05-31 00:00:00,2001-01-01 00:00:00,$43246.66,$0.00,$43246.66,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
41653,9,53,MAC´s,2025-05-01 00:00:00,2025-05-15 00:00:00,2001-01-01 00:00:00,$43246.66,$0.00,$43246.66,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
41977,9,2,MAC´s,2025-06-02 00:00:00,2025-07-01 00:00:00,2001-01-01 00:00:00,$43246.66,$0.00,$43246.66,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
41992,9,53,MAC´s,2025-06-02 00:00:00,2025-06-24 00:00:00,2001-01-01 00:00:00,$43246.66,$0.00,$43246.66,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
42348,9,2,MAC´s,2025-07-01 00:00:00,2025-07-29 00:00:00,2001-01-01 00:00:00,$43246.66,$0.00,$43246.66,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
42363,9,53,MAC´s,2025-07-01 00:00:00,2025-07-22 00:00:00,2001-01-01 00:00:00,$43246.66,$0.00,$43246.66,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
40220,9,2,MAC´s,2025-01-06 00:00:00,2025-01-09 00:00:00,2001-01-01 00:00:00,$43030.37,$0.00,$43030.37,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
