Reporte,Estado,Centro,Calificación,Fecha Reporte,Atendido,Fecha_Limite_Pago,Fecha Pago,Tiempo hasta pago,Deuda,Pagos,Total,Estado Pago,Fecha Factura,Fecha_Limite_Facturacion,Estatus Facturacion,Dias de Facturación,Falla
35623,16,1604,Regulares,2024-01-04 00:00:00,2024-01-08 00:00:00,2024-02-07 00:00:00,2024-01-08 00:00:00,0,$0.00,$8381.68,$8381.68,✔ Pagado,2001-01-01 00:00:00,2024-01-15 00:00:00,❌ No Facturado (Fuera de Tiempo),753,MANTENIMIENTO PREVENTIVO - 1 LINEA
35519,9,11,Regulares,2024-01-01 00:00:00,2024-01-23 00:00:00,2024-02-22 00:00:00,2024-02-14 00:00:00,22,$0.00,$22902.75,$22902.75,✔ Pagado,2001-01-01 00:00:00,2024-02-21 00:00:00,❌ No Facturado (Fuera de Tiempo),716,MANTENIMIENTO PREVENTIVO -3 LINEAS
35602,9,11,Regulares,2024-01-03 00:00:00,2024-01-04 00:00:00,2024-02-03 00:00:00,2024-02-14 00:00:00,41,$0.00,$435.00,$435,❌ Pago Con Atraso,2001-01-01 00:00:00,2024-02-21 00:00:00,❌ No Facturado (Fuera de Tiempo),716,NO APRUEBA COMPROBACION DE CALIBRACION.
35876,9,11,Regulares,2024-01-31 00:00:00,2024-01-23 00:00:00,2024-02-22 00:00:00,2024-02-14 00:00:00,22,$0.00,$1223.80,$1223.8,✔ Pagado,2001-01-01 00:00:00,2024-02-21 00:00:00,❌ No Facturado (Fuera de Tiempo),716,"REFACCIONES - 3 LEDS BICOLOR, 4 PASAMUROS 8MM, 1 CONECTOR ""T"", 1 CONECTOR CHECK 8MM, 1 CONECTOR RÁPIDO PARA FUGAS."
36667,15,998,Regulares,2024-03-27 00:00:00,2024-04-02 00:00:00,2024-05-02 00:00:00,2024-04-03 00:00:00,1,$0.00,$8178.00,$8178,✔ Pagado,2001-01-01 00:00:00,2024-04-10 00:00:00,❌ No Facturado (Fuera de Tiempo),667,"REFACCIONES Y SERVICIO - 4 VALVULAS SOLENOIDE, 1 ARNES DE PAU A MCEP, 1 INSTALACION DE GABINETE"
35605,9,53,MAC´s,2024-01-03 00:00:00,2024-01-03 00:00:00,2024-02-02 00:00:00,2024-03-22 00:00:00,79,$0.00,$2810.68,$2810.68,❌ Pago Con Atraso,2025-11-11 00:00:00,2024-03-29 00:00:00,⚠ Facturado Fuera de Tiempo,599,OXIGENO FUERA DE RANGO
35772,9,53,MAC´s,2024-01-22 00:00:00,2024-01-22 00:00:00,2024-02-21 00:00:00,2024-03-22 00:00:00,60,$0.00,$232.00,$232,❌ Pago Con Atraso,2025-11-11 00:00:00,2024-03-29 00:00:00,⚠ Facturado Fuera de Tiempo,599,MAS DE LECTURAS 15 EN EL ÚLTIMO MINUTO
37515,16,1604,Regulares,2024-05-30 00:00:00,2024-06-10 00:00:00,2024-07-10 00:00:00,2024-06-10 00:00:00,0,$0.00,$9933.66,$9933.66,✔ Pagado,2001-01-01 00:00:00,2024-06-17 00:00:00,❌ No Facturado (Fuera de Tiempo),599,MANTENIMIENTO PREVENTIVO - 1 LINEA (JUNIO)
36011,9,44,Regulares,2024-02-06 00:00:00,2024-02-06 00:00:00,2024-03-07 00:00:00,2024-04-29 00:00:00,83,$0.00,$452.40,$452.4,❌ Pago Con Atraso,2025-11-11 00:00:00,2024-05-06 00:00:00,⚠ Facturado Fuera de Tiempo,561,BAJA PRESION EN GAS DE BAJA
38572,22,30,Regulares,2024-08-16 00:00:00,2024-08-16 00:00:00,2024-09-15 00:00:00,2024-08-16 00:00:00,0,$0.00,$4640.00,$4640,✔ Pagado,2001-01-01 00:00:00,2024-08-23 00:00:00,❌ No Facturado (Fuera de Tiempo),532,REVISION DE MCEP EN LABORATORIO
