Proveedor,Requisicion,Orden_Compra,Descripción ,Cantidad_material,Precio_Total,Fecha_compra,Fecha_estimada_entrega,Dias_acordados_entrega,Fecha_entrega,Tiempo_retraso,Status_Cumplimiento
CARLOS IBAÑEZ,2382,2153,BASE PARA VASTAGO MUSTANG,5,$6844,2024-03-19 00:00:00,2024-03-20 00:00:00,1,2024-03-21 00:00:00,1,Retraso
CARLOS IBAÑEZ,2382,2153,PESA CIRCULAR 20 KG.,6,$6844,2024-03-19 00:00:00,2024-03-20 00:00:00,1,2024-03-21 00:00:00,1,Retraso
CARLOS IBAÑEZ,2382,2153,VASTAGO P/DINAMOMETRO MUSTANG  8.1KG,1,$6844,2024-03-19 00:00:00,2024-03-20 00:00:00,1,2024-03-21 00:00:00,1,Retraso
CYBERPUERTA SA DE CV,2551,2308,LICENCIA MICROSOFT OFFICE 2021,1,$1829,2024-07-16 00:00:00,2024-07-17 00:00:00,1,2024-07-23 00:00:00,6,Retraso
DATA COMPONENTS,2956,2703,EXT. ACTIVA USB 10M,15,$4574,2025-09-08 00:00:00,2025-09-09 00:00:00,1,2025-09-08 00:00:00,-1,Cumplio
EDGAR CABELLO SANDOVAL,2572,2327,CELDAS DE NOX,11,$75400,2024-08-05 00:00:00,2024-08-06 00:00:00,1,2024-08-05 00:00:00,-1,Cumplio
EMMSA,2951,2702,"BRIDAS 8""",6,$5836,2025-09-05 00:00:00,2025-09-06 00:00:00,1,2025-09-08 00:00:00,2,Retraso
EMMSA,2951,2702,PEGAMENTO PVC 711 ECO 1/2 LT GRIS,1,$5836,2025-09-05 00:00:00,2025-09-06 00:00:00,1,2025-09-08 00:00:00,2,Retraso
INTERECOLOGÍA S.A DE C.V,2571,2339,SENSOR DE OXIGENO,40,$3496,2024-08-08 00:00:00,2024-08-09 00:00:00,1,2024-08-08 00:00:00,-1,Cumplio
INTERECOLOGÍA S.A. DE C.V.,2333,2102,MICROBANCA,14,$9619,2024-02-15 00:00:00,2024-02-16 00:00:00,1,2024-02-15 00:00:00,-1,Cumplio
INTERECOLOGÍA S.A. DE C.V.,2386,2145,MICROBANCA,22,$7699,2024-03-13 00:00:00,2024-03-14 00:00:00,1,2024-03-13 00:00:00,-1,Cumplio
INTESING,2785,2576,CIRCUITO IMPRESO CONTROL DE SEG. EDO.,26,$28768,2025-04-21 00:00:00,2025-04-22 00:00:00,1,2025-04-21 00:00:00,-1,Cumplio
INTESING,2785,2576,CIRCUITO IMPRESO CONTROL SOLENOIDES EDO.,21,$28768,2025-04-21 00:00:00,2025-04-22 00:00:00,1,2025-04-21 00:00:00,-1,Cumplio
INTESING,2785,2576,CIRCUITO IMPRESO MCEP,26,$28768,2025-04-21 00:00:00,2025-04-22 00:00:00,1,2025-04-21 00:00:00,-1,Cumplio
INTESING,2785,2576,CIRCUITO IMPRESO NOX,23,$28768,2025-04-21 00:00:00,2025-04-22 00:00:00,1,2025-04-21 00:00:00,-1,Cumplio
MAKA Y MAJO SOPORTES Y PEDESTALES,2850,2595,"SOPORTE P/PANTALLA FIJO CON INCLINACIÓN 60"" A 90""",1,$600,2025-05-07 00:00:00,2025-05-08 00:00:00,1,2025-05-07 00:00:00,-1,Cumplio
MERCADO LIBRE,2421,2185,TIRA DE  LED 3528 ROLLO 5M RECORTABLE 300 HIPER LEDS EXT. F1 ROJO,24,$1896,2024-04-10 00:00:00,2024-04-11 00:00:00,1,2024-04-10 00:00:00,-1,Cumplio
MERCADO LIBRE,2780,2531,CABLE HDMI 10 METROS FULL HD 1080P,2,$526,2025-03-18 00:00:00,2025-03-19 00:00:00,1,2025-03-18 00:00:00,-1,Cumplio
MERCADO LIBRE,2780,2531,TIRA DE  LED 3528 ROLLO 5M RECORTABLE 300 HIPER LEDS EXT. F1 ROJO,4,$526,2025-03-18 00:00:00,2025-03-19 00:00:00,1,2025-03-18 00:00:00,-1,Cumplio
MERCADO LIBRE,2910,2656,SELECTOR 3 POSICIONES MANIJA CORTA,1,$159,2025-07-24 00:00:00,2025-07-25 00:00:00,1,2025-07-24 00:00:00,-1,Cumplio
MOTORSCAN,2619,2405,MANGUERA P/SONDA DE OPACIMETRO SAMPLE PROBE 9010 LARGE D27,2,$70630,2024-10-02 00:00:00,2024-10-03 00:00:00,1,2024-10-02 00:00:00,-1,Cumplio
