Reporte,Estado,Centro,Calificación,Fecha Reporte,Atendido,Fecha Pago,Deuda,Pagos,Total,Estado Pago,Tiempo hasta pago,Falla
43121,15,916,Regulares,01/09/2025 00:00,19/09/2025 00:00,04/11/2025 00:00,$0.00,"$18,814.13","$18,814.13",❌ Pago Con Atraso,46,MANTENIMIENTO PREVENTIVO -3 LINEAS
43465,15,916,Regulares,01/10/2025 00:00,23/10/2025 00:00,04/11/2025 00:00,$0.00,"$18,814.13","$18,814.13",✔ Pagado,12,MANTENIMIENTO PREVENTIVO -3 LINEAS
43645,17,1713,Regulares,22/10/2025 00:00,23/10/2025 00:00,03/11/2025 00:00,$0.00,$139.20,$139.20,✔ Pagado,11,MUESTRA MENSAJE EN PANTALLA (EL BANCO OPTICO PRESENTA ERROR INTERNO) Y NO AJUSTA HC
42806,13,12,Regulares,05/08/2025 00:00,11/08/2025 00:00,31/10/2025 00:00,$0.00,$305.56,$305.56,❌ Pago Con Atraso,81,BLOQUEOS DE GOBIERNO AL INICIO DE OPERACIÓN
43334,13,12,Regulares,23/09/2025 00:00,23/09/2025 00:00,31/10/2025 00:00,$0.00,"$1,740.00","$1,740",❌ Pago Con Atraso,38,CAMBIO DE SENSOR INDUCTIVO DE TAPA DE DINAMOMETRO
43416,9,34,Regulares,01/10/2025 00:00,20/10/2025 00:00,31/10/2025 00:00,$0.00,"$43,246.66","$43,246.66",✔ Pagado,11,MANTENIMIENTO PREVENTIVO -5 LINEAS
43439,13,12,Regulares,01/10/2025 00:00,08/10/2025 00:00,31/10/2025 00:00,$0.00,"$12,526.05","$12,526.05",✔ Pagado,23,MANTENIMIENTO PREVENTIVO -2 LINEAS
43462,15,870,Especiales,01/10/2025 00:00,22/10/2025 00:00,31/10/2025 00:00,$0.00,"$28,875.76","$28,875.76",✔ Pagado,9,MANTENIMIENTO PREVENTIVO -5 LINEAS
43469,17,1713,Regulares,01/10/2025 00:00,09/10/2025 00:00,31/10/2025 00:00,$0.00,"$22,871.35","$22,871.35",✔ Pagado,22,MANTENIMIENTO PREVENTIVO -4 LINEAS
43480,9,85,Regulares,01/10/2025 00:00,02/10/2025 00:00,31/10/2025 00:00,$0.00,"$2,320.00","$2,320",✔ Pagado,29,APOYO A LABORATORIO PARA CALIBRACION DE TACOMETROS 9 AM
43489,9,85,Regulares,02/10/2025 00:00,09/10/2025 00:00,31/10/2025 00:00,$0.00,"$1,856.00","$1,856",✔ Pagado,22,ENVIO DE 3 TRANSDUCTORES PARA REPARACION EN LABORATORIO
43538,9,105,Especiales,10/10/2025 00:00,15/10/2025 00:00,31/10/2025 00:00,$0.00,"$7,006.98","$7,006.98",✔ Pagado,16,"REFACCIONES- 1 PIPETA PARA OPACIMETRO, 5 PIEPETA FELXIBLE, 5 PIPETA RIGIDA"
43555,9,34,Regulares,13/10/2025 00:00,22/10/2025 00:00,31/10/2025 00:00,$0.00,$347.51,$347.51,✔ Pagado,9,BLOQUEÓ DE GOBIERNO
43573,15,870,Especiales,15/10/2025 00:00,20/10/2025 00:00,31/10/2025 00:00,$0.00,"$1,044.00","$1,044",✔ Pagado,11,REFACCIONES - 1 EXTENSION OBDII 10 M
